idx,ENCODED_ID
0,rn_A10_1
1,rn_A10_10
2,rn_A10_11
3,rn_A10_12
4,rn_A10_13
5,rn_A10_14
6,rn_A10_15
7,rn_A10_16
8,rn_A10_17
9,rn_A10_18
10,rn_A10_19
11,rn_A10_2
12,rn_A10_20
13,rn_A10_21
14,rn_A10_22
15,rn_A10_23
16,rn_A10_24
17,rn_A10_25
18,rn_A10_26
19,rn_A10_27
20,rn_A10_28
21,rn_A10_29
22,rn_A10_3
23,rn_A10_30
24,rn_A10_31
25,rn_A10_32
26,rn_A10_33
27,rn_A10_34
28,rn_A10_35
29,rn_A10_36
30,rn_A10_4
31,rn_A10_5
32,rn_A10_6
33,rn_A10_7
34,rn_A10_8
35,rn_A10_9
36,rn_A11_1
37,rn_A11_10
38,rn_A11_11
39,rn_A11_12
40,rn_A11_13
41,rn_A11_14
42,rn_A11_15
43,rn_A11_16
44,rn_A11_17
45,rn_A11_18
46,rn_A11_19
47,rn_A11_2
48,rn_A11_20
49,rn_A11_21
50,rn_A11_22
51,rn_A11_23
52,rn_A11_24
53,rn_A11_25
54,rn_A11_26
55,rn_A11_27
56,rn_A11_28
57,rn_A11_29
58,rn_A11_3
59,rn_A11_30
60,rn_A11_31
61,rn_A11_32
62,rn_A11_33
63,rn_A11_34
64,rn_A11_35
65,rn_A11_36
66,rn_A11_4
67,rn_A11_5
68,rn_A11_6
69,rn_A11_7
70,rn_A11_8
71,rn_A11_9
72,rn_A12_1
73,rn_A12_10
74,rn_A12_11
75,rn_A12_12
76,rn_A12_13
77,rn_A12_14
78,rn_A12_15
79,rn_A12_16
80,rn_A12_17
81,rn_A12_18
82,rn_A12_19
83,rn_A12_2
84,rn_A12_20
85,rn_A12_21
86,rn_A12_22
87,rn_A12_23
88,rn_A12_24
89,rn_A12_25
90,rn_A12_26
91,rn_A12_27
92,rn_A12_28
93,rn_A12_29
94,rn_A12_3
95,rn_A12_30
96,rn_A12_31
97,rn_A12_32
98,rn_A12_33
99,rn_A12_34
100,rn_A12_35
101,rn_A12_36
102,rn_A12_4
